State	EV	Outcome	N	TrumpMean
Alabama	9	T		
Alaska	3	T		
Arizona	11	TU	250	0.54
Arkansas	6	T		
California	55	H		
Colorado	9	TU	250	0.471
Connecticut	7	H		
Delaware	3	H		
District of Columbia	3	H		
Florida	29	TU	500	0.498
Georgia	16	TU	250	0.546
Hawaii	4	H		
Idaho	4	T		
Illinois	20	H		
Indiana	11	T		
Iowa	6	TU	150	0.53
Kansas	6	T		
Kentucky	8	T		
Louisiana	8	T		
Maine	4	TU	100	0.465
Maryland	10	H		
Massachusetts	11	H		
Michigan	16	TU	250	0.453
Minnesota	10	H		
Mississippi	6	T		
Missouri	10	T		
Montana	3	T		
Nebraska	5	T		
Nevada	6	TU	250	0.515
New Hampshire	4	TU	250	0.494
New Jersey	14	H		
New Mexico	5	TU	250	0.465
New York	29	H		
North Carolina	15	TU	250	0.514
North Dakota	3	T		
Ohio	18	TU	400	0.535
Oklahoma	7	T		
Oregon	7	H		
Pennsylvania	20	TU	400	0.476
Rhode Island	4	H		
South Carolina	9	T		
South Dakota	3	T		
Tennessee	11	T		
Texas	38	T		
Utah	6	T		
Vermont	3	H		
Virginia	13	TU	250	0.45
Washington	12	H		
West Virginia	5	T		
Wisconsin	10	H		
Wyoming	3	T		
